Authors,Title,Publication,Volume,Number,Pages,pub_date,Publisher
"Kumar, N Suresh; Anouncia, S Margret; Prabu, M; ",Application of Satellite Remote Sensing to find Soil Fertilization by using Soil Colour.,International Journal of Online Engineering,9,2,,2013,
"Kumar, N Suresh; Anouncia, S Margret; Prabu, M; ",Fuzzy-based satellite image classification to find Greenery and used Land,International Journal of Tomography and Simulation,25,1,01-Feb,2014,
"Prabu, M; Anouncia, S Margret; ",NDVI Generation of Chlorophyll from OCM Data for The Indian Ocean Region Using Multispectral Images,"Research Journal of Pharmaceutical, Biological and Chemical  Sciences",7,5,,2016,
"Prabu, M; Margret Anouncia, S; ",Prediction of Land Cover Changes in Vellore District of Tamil Nadu by Using Satellite Image Processing,Knowledge Computing and its Applications,,,87-100,2018,"Springer, Singapore"
"Prabu, M; Anouncia, S Margret; ",Distributed Computing Model of Multispectral Time Series Data Analysis for Chlorophyll Concentration Determination Using Ocean Color Monitor-2 Data,Journal of Testing and Evaluation,47,6,3988-4003,2019,ASTM International
"Manoov, R; Prabu, M; ",Analyzing the Impact of Internet in Rural India,,,,,,
"Prabu, M.; ",Canopy Removal on Satellite Images using Classification and Contrast Enhancement,International Journal of Scientific & Technology Research,9,Issue 1,349-353,2020,
"Dr. Arish P, Dr. Gobi R, Dr. Arul Kumar N, Dr. Prabu M, Dr. Vinay M; ",Automatic Vehicle License Plate Recognizer for Kannada Script using TensorFlow Based Convolutional Neural Network Model,,,,,2020,"IN Patent 04/2,020"
"Ramamoorthy, S; Prabu, M; Balajee, JM; ",Design and evaluation of Wi-Fi offloading mechanism in heterogeneous networks,International Journal of e-Collaboration (IJeC),17,1,60-70,2021,IGI Global
"Basheer, Shakila; Gopu, Magesh; Mathew, Rincy Merlin; Bivi, Maryam Aysha; Prabu, M; ",Industrial-IoT-hardware security-improvement using plan load optimization method in cloud,International Journal of System Assurance Engineering and Management,,,01-Aug,2021,Springer India
"S Basheer, M Gopu, RM Mathew, MA Bivi, M Prabu; ",Industrial-IoT-hardware security-improvement using plan load optimization method in cloud,International Journal of System Assurance Engineering and Management,,,,2021,
"Loheswaran, K; Subba Ramaiah, V; Srinivasa Rao, Sirasani; Malathi, P; Prabu, M; Niveditha, VR; ",Powerful basic frequency extraction from monophonic signs utilizing versatile sub-band separating,International Journal of Speech Technology,,,Jan-14,2021,Springer US
"Dr. P. Shanmuga Sundari, Dr. Seng Tong Chong, Dr. M. Prabu; ",Outcomes of Best Practices in Classroom Research,,,,,2022,
"Prabu M, Shreya Sharma, Yana Kaveramma, Varun Singh; ",Classification and Analysis of Plankton using Image Processing and Deep Learning Technique,International on Research Essential in Machine Learning and Computational Intelligence (ECREMLACI 2021),,,05-Oct,2021,
"Mathews, Mary Shaji; Prabu, M; Pitchai, Arish; Roberts, Derin Ben; Rahul, G; ",Improved Computer Vision-based Framework for Electronic Toll Collection,"2022 12th International Conference on Cloud Computing, Data Science & Engineering (Confluence)",,,213-216,2022,IEEE
